Added ON,Added By,COMPLAINT GROUPING,PRODUCT,KEY
31-Dec-2022,service.almsind2@gmail.com,ADC FAIL,MONNAL T60,MONNAL T60|ADC FAIL
31-Dec-2022,service.almsind2@gmail.com,Alarm 004,MONNAL T60,MONNAL T60|Alarm 004
31-Dec-2022,service.almsind2@gmail.com,Alarm 005,MONNAL T60,MONNAL T60|Alarm 005
31-Dec-2022,service.almsind2@gmail.com,Alarm 006,MONNAL T60,MONNAL T60|Alarm 006
31-Dec-2022,service.almsind2@gmail.com,Alarm 007,MONNAL T60,MONNAL T60|Alarm 007
31-Dec-2022,service.almsind2@gmail.com,Alarm 010,MONNAL T60,MONNAL T60|Alarm 010
31-Dec-2022,service.almsind2@gmail.com,Alarm 011,MONNAL T60,MONNAL T60|Alarm 011
31-Dec-2022,service.almsind2@gmail.com,Alarm 013,MONNAL T60,MONNAL T60|Alarm 013
31-Dec-2022,service.almsind2@gmail.com,Alarm 014,MONNAL T60,MONNAL T60|Alarm 014
31-Dec-2022,service.almsind2@gmail.com,Alarm 015,MONNAL T60,MONNAL T60|Alarm 015
31-Dec-2022,service.almsind2@gmail.com,Alarm 019,MONNAL T60,MONNAL T60|Alarm 019
31-Dec-2022,service.almsind2@gmail.com,Alarm 020,MONNAL T60,MONNAL T60|Alarm 020
31-Dec-2022,service.almsind2@gmail.com,Alarm 021,MONNAL T60,MONNAL T60|Alarm 021
31-Dec-2022,service.almsind2@gmail.com,Alarm 028,MONNAL T60,MONNAL T60|Alarm 028
31-Dec-2022,service.almsind2@gmail.com,Alarm 031,MONNAL T60,MONNAL T60|Alarm 031
31-Dec-2022,service.almsind2@gmail.com,Alarm 032,MONNAL T60,MONNAL T60|Alarm 032
31-Dec-2022,service.almsind2@gmail.com,Alarm 034,MONNAL T60,MONNAL T60|Alarm 034
31-Dec-2022,service.almsind2@gmail.com,Alarm 036,MONNAL T60,MONNAL T60|Alarm 036
31-Dec-2022,service.almsind2@gmail.com,Alarm 037,MONNAL T60,MONNAL T60|Alarm 037
31-Dec-2022,service.almsind2@gmail.com,Alarm 038,MONNAL T60,MONNAL T60|Alarm 038
31-Dec-2022,service.almsind2@gmail.com,Alarm 039,MONNAL T60,MONNAL T60|Alarm 039
31-Dec-2022,service.almsind2@gmail.com,Alarm 040,MONNAL T60,MONNAL T60|Alarm 040
31-Dec-2022,service.almsind2@gmail.com,Alarm 041,MONNAL T60,MONNAL T60|Alarm 041
31-Dec-2022,service.almsind2@gmail.com,Alarm 043,MONNAL T60,MONNAL T60|Alarm 043
31-Dec-2022,service.almsind2@gmail.com,Alarm 044,MONNAL T60,MONNAL T60|Alarm 044
31-Dec-2022,service.almsind2@gmail.com,Alarm 045,MONNAL T60,MONNAL T60|Alarm 045
31-Dec-2022,service.almsind2@gmail.com,Alarm 046,MONNAL T60,MONNAL T60|Alarm 046
31-Dec-2022,service.almsind2@gmail.com,Alarm 047,MONNAL T60,MONNAL T60|Alarm 047
31-Dec-2022,service.almsind2@gmail.com,Alarm 053,MONNAL T60,MONNAL T60|Alarm 053
31-Dec-2022,service.almsind2@gmail.com,Alarm 054,MONNAL T60,MONNAL T60|Alarm 054
31-Dec-2022,service.almsind2@gmail.com,Alarm 065,MONNAL T60,MONNAL T60|Alarm 065
31-Dec-2022,service.almsind2@gmail.com,Alarm 069,MONNAL T60,MONNAL T60|Alarm 069
31-Dec-2022,service.almsind2@gmail.com,Alarm 070,MONNAL T60,MONNAL T60|Alarm 070
31-Dec-2022,service.almsind2@gmail.com,Alarm 075,MONNAL T60,MONNAL T60|Alarm 075
31-Dec-2022,service.almsind2@gmail.com,Alarm 077,MONNAL T60,MONNAL T60|Alarm 077
31-Dec-2022,service.almsind2@gmail.com,Alarm 078,MONNAL T60,MONNAL T60|Alarm 078
31-Dec-2022,service.almsind2@gmail.com,Alarm 081,MONNAL T60,MONNAL T60|Alarm 081
31-Dec-2022,service.almsind2@gmail.com,Alarm 089,MONNAL T60,MONNAL T60|Alarm 089
31-Dec-2022,service.almsind2@gmail.com,Alarm 090,MONNAL T60,MONNAL T60|Alarm 090
31-Dec-2022,service.almsind2@gmail.com,Alarm 092,MONNAL T60,MONNAL T60|Alarm 092
31-Dec-2022,service.almsind2@gmail.com,Alarm 093,MONNAL T60,MONNAL T60|Alarm 093
31-Dec-2022,service.almsind2@gmail.com,Alarm 097,MONNAL T60,MONNAL T60|Alarm 097
31-Dec-2022,service.almsind2@gmail.com,Alarm 098,MONNAL T60,MONNAL T60|Alarm 098
31-Dec-2022,service.almsind2@gmail.com,Alarm 100,MONNAL T60,MONNAL T60|Alarm 100
31-Dec-2022,service.almsind2@gmail.com,Alarm 101,MONNAL T60,MONNAL T60|Alarm 101
31-Dec-2022,service.almsind2@gmail.com,Alarm 102,MONNAL T60,MONNAL T60|Alarm 102
31-Dec-2022,service.almsind2@gmail.com,Alarm 103,MONNAL T60,MONNAL T60|Alarm 103
31-Dec-2022,service.almsind2@gmail.com,Alarm 104,MONNAL T60,MONNAL T60|Alarm 104
31-Dec-2022,service.almsind2@gmail.com,Alarm 105,MONNAL T60,MONNAL T60|Alarm 105
31-Dec-2022,service.almsind2@gmail.com,Alarm 107,MONNAL T60,MONNAL T60|Alarm 107
31-Dec-2022,service.almsind2@gmail.com,Alarm 111,MONNAL T60,MONNAL T60|Alarm 111
31-Dec-2022,service.almsind2@gmail.com,Alarm 113,MONNAL T60,MONNAL T60|Alarm 113
31-Dec-2022,service.almsind2@gmail.com,Alarm 115,MONNAL T60,MONNAL T60|Alarm 115
31-Dec-2022,service.almsind2@gmail.com,Alarm 129,MONNAL T60,MONNAL T60|Alarm 129
31-Dec-2022,service.almsind2@gmail.com,Alarm 130,MONNAL T60,MONNAL T60|Alarm 130
31-Dec-2022,service.almsind2@gmail.com,Autotests : failure,MONNAL T60,MONNAL T60|Autotests : failure
31-Dec-2022,service.almsind2@gmail.com,Autotests : resistance not evaluated,MONNAL T60,MONNAL T60|Autotests : resistance not evaluated
31-Dec-2022,service.almsind2@gmail.com,Battery : incorrect information,MONNAL T60,MONNAL T60|Battery : incorrect information
31-Dec-2022,service.almsind2@gmail.com,Battery : no charge,MONNAL T60,MONNAL T60|Battery : no charge
31-Dec-2022,service.almsind2@gmail.com,Battery : no detection,MONNAL T60,MONNAL T60|Battery : no detection
31-Dec-2022,service.almsind2@gmail.com,Battery : reduced autonomy,MONNAL T60,MONNAL T60|Battery : reduced autonomy
31-Dec-2022,service.almsind2@gmail.com,Calibration: impossible,MONNAL T60,MONNAL T60|Calibration: impossible
31-Dec-2022,service.almsind2@gmail.com,Connection : electric,MONNAL T60,MONNAL T60|Connection : electric
31-Dec-2022,service.almsind2@gmail.com,Connection : mechanical,MONNAL T60,MONNAL T60|Connection : mechanical
31-Dec-2022,service.almsind2@gmail.com,Connection : pneumatic,MONNAL T60,MONNAL T60|Connection : pneumatic
31-Dec-2022,service.almsind2@gmail.com,Defective component,MONNAL T60,MONNAL T60|Defective component
31-Dec-2022,service.almsind2@gmail.com,Fixation,MONNAL T60,MONNAL T60|Fixation
31-Dec-2022,service.almsind2@gmail.com,Housing : aspect,MONNAL T60,MONNAL T60|Housing : aspect
31-Dec-2022,service.almsind2@gmail.com,Housing : cracks,MONNAL T60,MONNAL T60|Housing : cracks
31-Dec-2022,service.almsind2@gmail.com,Housing : missing,MONNAL T60,MONNAL T60|Housing : missing
31-Dec-2022,service.almsind2@gmail.com,Leak : audible leak,MONNAL T60,MONNAL T60|Leak : audible leak
31-Dec-2022,service.almsind2@gmail.com,Leak : expiratory valve,MONNAL T60,MONNAL T60|Leak : expiratory valve
31-Dec-2022,service.almsind2@gmail.com,Leak : inspiratory branch,MONNAL T60,MONNAL T60|Leak : inspiratory branch
31-Dec-2022,service.almsind2@gmail.com,Leak : O2 LP valve,MONNAL T60,MONNAL T60|Leak : O2 LP valve
31-Dec-2022,service.almsind2@gmail.com,Leak : O2 mixer,MONNAL T60,MONNAL T60|Leak : O2 mixer
31-Dec-2022,service.almsind2@gmail.com,Monitor reboot,MONNAL T60,MONNAL T60|Monitor reboot
31-Dec-2022,service.almsind2@gmail.com,Monitoring : settings/ thresholds/ menu,MONNAL T60,MONNAL T60|Monitoring : settings/ thresholds/ menu
31-Dec-2022,service.almsind2@gmail.com,Noise,MONNAL T60,MONNAL T60|Noise
31-Dec-2022,service.almsind2@gmail.com,Other,MONNAL T60,MONNAL T60|Other
31-Dec-2022,service.almsind2@gmail.com,Power supply : fault,MONNAL T60,MONNAL T60|Power supply : fault
31-Dec-2022,service.almsind2@gmail.com,Power supply : impossible to start,MONNAL T60,MONNAL T60|Power supply : impossible to start
31-Dec-2022,service.almsind2@gmail.com,Power supply : no commutation,MONNAL T60,MONNAL T60|Power supply : no commutation
31-Dec-2022,service.almsind2@gmail.com,Screen : brightness,MONNAL T60,MONNAL T60|Screen : brightness
31-Dec-2022,service.almsind2@gmail.com,Screen : touch screen,MONNAL T60,MONNAL T60|Screen : touch screen
31-Dec-2022,service.almsind2@gmail.com,Screen: display error,MONNAL T60,MONNAL T60|Screen: display error
31-Dec-2022,service.almsind2@gmail.com,Setting : settings/ thresholds/ menu,MONNAL T60,MONNAL T60|Setting : settings/ thresholds/ menu
31-Dec-2022,service.almsind2@gmail.com,Soft update impossible,MONNAL T60,MONNAL T60|Soft update impossible
31-Dec-2022,service.almsind2@gmail.com,Start-up : black screen,MONNAL T60,MONNAL T60|Start-up : black screen
