Added ON,Added By,ROOT CAUSE KEY WORD,PRODUCT,KEY
31-Dec-2022,service.almsind2@gmail.com,Backlight strand,MONNAL T60,MONNAL T60|Backlight strand
31-Dec-2022,service.almsind2@gmail.com,Backup battery,MONNAL T60,MONNAL T60|Backup battery
31-Dec-2022,service.almsind2@gmail.com,Battery board rivet,MONNAL T60,MONNAL T60|Battery board rivet
31-Dec-2022,service.almsind2@gmail.com,Bolt lock,MONNAL T60,MONNAL T60|Bolt lock
31-Dec-2022,service.almsind2@gmail.com,Buzzer,MONNAL T60,MONNAL T60|Buzzer
31-Dec-2022,service.almsind2@gmail.com,Buzzer capacitor,MONNAL T60,MONNAL T60|Buzzer capacitor
31-Dec-2022,service.almsind2@gmail.com,Calibration,MONNAL T60,MONNAL T60|Calibration
31-Dec-2022,service.almsind2@gmail.com,Cell O2,MONNAL T60,MONNAL T60|Cell O2
31-Dec-2022,service.almsind2@gmail.com,Connexion board for wall mounted station,MONNAL T60,MONNAL T60|Connexion board for wall mounted station
31-Dec-2022,service.almsind2@gmail.com,Cooling fan,MONNAL T60,MONNAL T60|Cooling fan
31-Dec-2022,service.almsind2@gmail.com,DC input cable harness,MONNAL T60,MONNAL T60|DC input cable harness
31-Dec-2022,service.almsind2@gmail.com,Ejector stiffener,MONNAL T60,MONNAL T60|Ejector stiffener
31-Dec-2022,service.almsind2@gmail.com,ETCO2 probe,MONNAL T60,MONNAL T60|ETCO2 probe
31-Dec-2022,service.almsind2@gmail.com,ETCO2 probe adapter,MONNAL T60,MONNAL T60|ETCO2 probe adapter
31-Dec-2022,service.almsind2@gmail.com,Expiratory sensor cable harness,MONNAL T60,MONNAL T60|Expiratory sensor cable harness
31-Dec-2022,service.almsind2@gmail.com,Expiratory valve,MONNAL T60,MONNAL T60|Expiratory valve
31-Dec-2022,service.almsind2@gmail.com,Expiratory valve leap seal,MONNAL T60,MONNAL T60|Expiratory valve leap seal
